collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,notes_source,notes_source.label
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2014,17.49,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2014,39.05,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2014,19.16,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2014,42.55,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2014,15.21,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2014,32.55,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_TOTAL,Aggregate age bands: Total,,,,,,,,,2014,17.49,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_Y15-24,Aggregate age bands: 15-24,,,,,,,,,2014,39.05,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_Y25-54,Aggregate age bands: 25-54,,,,,,,,,2014,15.83,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_Y55-64,Aggregate age bands: 55-64,,,,,,,,,2014,11.93,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_YGE65,Aggregate age bands: 65+,,,,,,,,,2014,1.38,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_TOTAL,Aggregate age bands: Total,,,,,,,,,2014,19.16,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_Y15-24,Aggregate age bands: 15-24,,,,,,,,,2014,42.55,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_Y25-54,Aggregate age bands: 25-54,,,,,,,,,2014,16.88,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_Y55-64,Aggregate age bands: 55-64,,,,,,,,,2014,13.72,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_YGE65,Aggregate age bands: 65+,,,,,,,,,2014,1.71,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
