Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,633.9478643
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,60.37446341
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2014,YR2014,31627506
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4568.568827
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,77.83046341
Albania,ALB,"Population, total",SP.POP.TOTL,2014,YR2014,2893654
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,5484.066806
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,74.80809756
Algeria,DZA,"Population, total",SP.POP.TOTL,2014,YR2014,38934334
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
American Samoa,ASM,"Population, total",SP.POP.TOTL,2014,YR2014,55434
Andorra,ADO,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Andorra,ADO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
Andorra,ADO,"Population, total",SP.POP.TOTL,2014,YR2014,72786
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,5232.7623
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,52.26687805
Angola,AGO,"Population, total",SP.POP.TOTL,2014,YR2014,24227524
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,13432.07921
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.93763415
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2014,YR2014,90900
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,12324.93879
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,76.15860976
Argentina,ARG,"Population, total",SP.POP.TOTL,2014,YR2014,42980026
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3861.91557
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,74.67570732
Armenia,ARM,"Population, total",SP.POP.TOTL,2014,YR2014,3006154
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.45109756
Aruba,ABW,"Population, total",SP.POP.TOTL,2014,YR2014,103441
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,61995.8297
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,82.25121951
Australia,AUS,"Population, total",SP.POP.TOTL,2014,YR2014,23464086
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,51322.63997
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.33658537
Austria,AUT,"Population, total",SP.POP.TOTL,2014,YR2014,8541575
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7886.459144
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,70.76321951
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,2014,YR2014,9535079
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,22497.44971
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.23365854
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,2014,YR2014,383054
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,24514.99913
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,76.68326829
Bahrain,BHR,"Population, total",SP.POP.TOTL,2014,YR2014,1361930
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1086.800087
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,71.62590244
Bangladesh,BGD,"Population, total",SP.POP.TOTL,2014,YR2014,159077513
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,15360.0618
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.49641463
Barbados,BRB,"Population, total",SP.POP.TOTL,2014,YR2014,283380
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,8025.304356
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,72.97560976
Belarus,BLR,"Population, total",SP.POP.TOTL,2014,YR2014,9483000
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,47346.79282
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,80.58780488
Belgium,BEL,"Population, total",SP.POP.TOTL,2014,YR2014,11231213
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4884.368562
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,70.07743902
Belize,BLZ,"Population, total",SP.POP.TOTL,2014,YR2014,351706
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,915.9266408
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,59.51058537
Benin,BEN,"Population, total",SP.POP.TOTL,2014,YR2014,10598482
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,80.79731707
Bermuda,BMU,"Population, total",SP.POP.TOTL,2014,YR2014,65139
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,2560.522132
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,69.4712439
Bhutan,BTN,"Population, total",SP.POP.TOTL,2014,YR2014,765008
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3124.085434
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,68.344
Bolivia,BOL,"Population, total",SP.POP.TOTL,2014,YR2014,10561887
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,4852.318649
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,76.4332439
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,2014,YR2014,3817554
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7153.447859
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,64.4292439
Botswana,BWA,"Population, total",SP.POP.TOTL,2014,YR2014,2219937
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,11728.79939
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,74.40187805
Brazil,BRA,"Population, total",SP.POP.TOTL,2014,YR2014,206077898
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,NA
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,2014,YR2014,29585
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,41023.88988
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,78.80958537
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,2014,YR2014,417394
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,7853.335191
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.40731707
Bulgaria,BGR,"Population, total",SP.POP.TOTL,2014,YR2014,7223938
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,696.8562068
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,58.58846341
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,2014,YR2014,17589198
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,286.0023359
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,56.69202439
Burundi,BDI,"Population, total",SP.POP.TOTL,2014,YR2014,10816860
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3661.168758
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,73.147
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,2014,YR2014,513906
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1094.576688
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,68.21229268
Cambodia,KHM,"Population, total",SP.POP.TOTL,2014,YR2014,15328136
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1407.403413
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,55.4927561
Cameroon,CMR,"Population, total",SP.POP.TOTL,2014,YR2014,22773014
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,50185.4815
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.95660976
